Date,GBP
7/1/1982,178.79
7/2/1982,180.65
7/6/1982,180.42
7/7/1982,179.3
7/8/1982,183.28
7/9/1982,190.49
7/12/1982,197.98
7/13/1982,204.64
7/14/1982,204.7
7/15/1982,203.43
7/16/1982,201.28
7/19/1982,200.29
7/20/1982,199.94
7/21/1982,208.71
7/22/1982,202
7/23/1982,205.6
7/26/1982,199.66
7/27/1982,199.98
7/28/1982,199.02
7/29/1982,197.07
7/30/1982,197.3
8/2/1982,200.34
8/3/1982,199.71
8/4/1982,200.37
8/5/1982,201.98
8/6/1982,201.11
8/9/1982,197.65
8/10/1982,199.23
8/11/1982,196.41
8/12/1982,197.11
8/13/1982,198.59
8/16/1982,200.7
8/17/1982,197.83
8/18/1982,207.48
8/19/1982,206.9
8/20/1982,221.94
8/23/1982,226.2
8/24/1982,230.66
8/25/1982,227.78
8/26/1982,236.93
8/27/1982,240.78
8/30/1982,235.41
8/31/1982,239.17
9/1/1982,235.51
9/2/1982,236.14
9/3/1982,262.93
9/7/1982,278.39
9/8/1982,266.12
9/9/1982,269.68
9/10/1982,264.53
9/13/1982,257.43
9/14/1982,266
9/15/1982,259.71
9/16/1982,262.66
9/17/1982,257.73
9/20/1982,248
9/21/1982,249.42
9/22/1982,257.74
9/23/1982,254.78
9/24/1982,252.27
9/27/1982,243.96
9/28/1982,242.83
9/29/1982,241.64
9/30/1982,234.29
10/1/1982,236.75
10/4/1982,230.2
10/5/1982,231.37
10/6/1982,238.7
10/7/1982,245.67
10/8/1982,254.03
10/12/1982,255.92
10/13/1982,250.92
10/14/1982,262.6
10/15/1982,253.81
10/18/1982,250.7
10/19/1982,258.64
10/20/1982,248.63
10/21/1982,255.06
10/22/1982,252.06
10/25/1982,249.09
10/26/1982,248.64
10/27/1982,247.92
10/28/1982,249.23
11/3/1982,254.54
11/4/1982,254.85
11/5/1982,251.13
11/8/1982,246.71
11/9/1982,246.46
11/10/1982,247.22
11/12/1982,240.95
11/15/1982,247.13
11/16/1982,251.47
11/17/1982,257.57
11/18/1982,254.83
11/19/1982,257.86
11/22/1982,257.53
11/23/1982,254.19
11/24/1982,256.47
11/26/1982,254.95
11/29/1982,270.2
11/30/1982,267.16
12/1/1982,270.31
12/2/1982,272.66
12/3/1982,268.86
12/6/1982,274.81
12/7/1982,278.49
12/8/1982,273.51
12/9/1982,271.4
12/10/1982,270.62
12/13/1982,272.99
12/14/1982,278.01
12/15/1982,271.07
12/16/1982,271.73
12/17/1982,273.13
12/20/1982,273.33
12/21/1982,275.6
12/22/1982,278.28
12/23/1982,279.44
12/27/1982,284.74
12/28/1982,281.35
12/29/1982,283.04
12/30/1982,282.65
1/3/1983,278.41
1/4/1983,277.3
1/5/1983,280.07
1/6/1983,282.91
1/7/1983,288.82
1/10/1983,298.21
1/11/1983,305.87
1/12/1983,305.08
1/13/1983,309.38
1/14/1983,305.63
1/17/1983,313.72
1/18/1983,307.74
1/19/1983,314.8
1/20/1983,309.92
1/21/1983,309.41
1/24/1983,308.99
1/25/1983,317.59
1/26/1983,314.28
1/27/1983,323.14
1/28/1983,321.38
1/31/1983,328.58
2/1/1983,333.77
2/2/1983,329.17
2/3/1983,330.27
2/4/1983,326.99
2/7/1983,319.56
2/8/1983,323.59
2/9/1983,318.3
2/10/1983,320.21
2/11/1983,327.49
2/14/1983,325.32
2/15/1983,330.43
2/16/1983,327.85
2/17/1983,326.98
2/18/1983,326.21
2/22/1983,319.09
2/23/1983,306.72
2/24/1983,310.97
2/25/1983,304.32
2/28/1983,270.26
3/1/1983,275.17
3/2/1983,285.71
3/3/1983,283.97
3/4/1983,273
3/7/1983,277.36
3/8/1983,278.43
3/9/1983,283.53
3/10/1983,287.56
3/11/1983,279.83
3/14/1983,283.96
3/15/1983,286.99
3/16/1983,277.48
3/17/1983,277.24
3/18/1983,283.5
3/21/1983,281.88
3/22/1983,286.14
3/23/1983,281.21
3/24/1983,284.24
3/25/1983,281.99
3/28/1983,280.99
3/29/1983,283.78
3/30/1983,285.03
3/31/1983,279.73
4/4/1983,280.15
4/5/1983,283.28
4/6/1983,282.47
4/7/1983,283.14
4/8/1983,279.87
4/11/1983,279.56
4/12/1983,280.52
4/13/1983,279.34
4/14/1983,282.76
4/15/1983,281.83
4/18/1983,283.79
4/19/1983,283.64
4/20/1983,281.26
4/21/1983,284.01
4/22/1983,283.21
4/25/1983,281.57
4/26/1983,277.39
4/27/1983,276.91
4/28/1983,274.82
4/29/1983,275.61
5/2/1983,272.81
5/3/1983,274.68
5/4/1983,274.09
5/5/1983,274.84
5/6/1983,273.08
5/9/1983,276.79
5/10/1983,283.6
5/11/1983,282.44
5/12/1983,280.4
5/13/1983,281.65
5/16/1983,279.53
5/17/1983,283.59
5/18/1983,284.06
5/19/1983,285.03
5/20/1983,281.9
5/23/1983,278.05
5/24/1983,278.8
5/25/1983,278.6
5/26/1983,274.66
5/27/1983,272.94
5/31/1983,273.35
6/1/1983,257.86
6/2/1983,260.81
6/3/1983,262.94
6/6/1983,258.69
6/7/1983,254.58
6/8/1983,256.75
6/9/1983,258.23
6/10/1983,261.83
6/13/1983,266.07
6/14/1983,267.91
6/15/1983,268.2
6/16/1983,270.14
6/17/1983,272.82
6/20/1983,271.34
6/21/1983,271.76
6/22/1983,274.75
6/23/1983,272.87
6/24/1983,274.02
6/27/1983,272.85
6/28/1983,271.45
6/29/1983,271.52
6/30/1983,271.31
7/1/1983,271.85
7/5/1983,268.69
7/6/1983,267.36
7/7/1983,267.84
7/8/1983,276.35
7/11/1983,280.64
7/12/1983,280.12
7/13/1983,279.25
7/14/1983,278.93
7/15/1983,278.4
7/18/1983,277.95
7/19/1983,279.14
7/20/1983,280.97
7/21/1983,281.77
7/22/1983,278.53
7/25/1983,277.36
7/26/1983,279.02
7/27/1983,279.02
7/28/1983,278.96
7/29/1983,277.63
8/1/1983,272.5
8/2/1983,274.81
8/3/1983,272.94
8/4/1983,278.32
8/5/1983,275.89
8/8/1983,273.98
8/9/1983,276.44
8/10/1983,275.62
8/11/1983,278.33
8/12/1983,278.37
8/15/1983,278.73
8/16/1983,278.94
8/17/1983,278.97
