Date,SMB %,HML %,WML %,Rm %,Rf %,Rm-Rf %
19931001,1.95533497,0.621472,-0.13849942,-0.65155065,0.03215761,-0.68370826
19931004,0.1327468,-0.07354657,0.95033017,-0.94348595,0.03215761,-0.97564356
19931005,-0.29982965,0.62428501,-0.75245574,-0.17483993,0.03215761,-0.20699754
19931006,-0.32600681,-1.11178486,-0.06128983,-0.33602928,0.03215761,-0.36818689
19931007,-0.62289863,0.3960117,0.76560858,0.3165596,0.03215761,0.28440199
19931008,0.72473104,1.09532421,0.42431724,0.8551851,0.03215761,0.82302749
19931011,1.77410235,-0.20594899,0.07541513,1.23819598,0.03138149,1.20681449
19931012,-0.10691612,-0.00999113,0.80203762,0.55012397,0.03138149,0.51874248
19931019,-0.75260042,0.36023658,0.27938702,1.0850312,0.03108543,1.05394577
19931020,1.05040922,0.07419671,0.23745566,-0.21116842,0.03108543,-0.24225385
19931021,-0.26978652,-0.19374521,2.02632562,-1.90549902,0.03108543,-1.93658445
19931022,0.00752955,-0.23957805,-0.28382529,0.93245308,0.03108543,0.90136765
19931025,-0.60226997,0.6356357,-0.09802405,0.47131471,0.0317143,0.43960041
19931026,0.45996252,-0.40265069,0.52294835,-1.16068608,0.0317143,-1.19240038
19931027,-1.37053323,0.81704389,-0.17077349,-0.53382062,0.0317143,-0.56553492
19931028,0.10188807,-0.3723678,0.28138364,-0.20089432,0.0317143,-0.23260862
19931029,-0.06637638,0.32012339,0.50675564,-0.71143308,0.0317143,-0.74314738
19931101,0.25459134,-0.84997738,-0.43305527,-2.11488879,0.03138149,-2.14627028
19931102,0.169595,-0.16294412,-0.78116965,-0.44481006,0.03138149,-0.47619155
19931103,-0.04678852,-0.34917927,1.73061506,0.5001054,0.03138149,0.46872391
19931104,0.46251385,-0.28220775,-0.08116047,0.40442965,0.03138149,0.37304816
19931105,-0.53823347,0.06667938,1.68662035,0.90671122,0.03138149,0.87532973
19931108,-0.86175819,0.01915411,0.41896636,1.82641651,0.0317143,1.79470221
19931109,-1.34882832,0.04722904,-0.4035981,1.05163851,0.0317143,1.01992421
19931110,-1.05956759,0.61090506,0.17922523,0.82592794,0.0317143,0.79421364
19931116,-0.7205769,-0.30722322,1.63684764,2.59174416,0.03138149,2.56036267
19931117,-0.82092569,1.78650976,1.45782078,1.49000353,0.03138149,1.45862204
19931118,-2.08708119,2.64346301,0.89506774,1.53139613,0.03138149,1.50001464
19931119,-0.37407425,0.09257554,0.26042315,1.31385229,0.03138149,1.2824708
19931122,-0.64819474,-0.17401966,0.83533574,2.12845936,0.03263732,2.09582204
19931123,0.53764849,-1.31646157,0.98258169,0.75214303,0.03263732,0.71950571
19931124,0.00659436,-1.92747464,0.5718581,0.18050138,0.03263732,0.14786406
19931125,-0.68603377,-0.67903682,2.88209121,-0.11790221,0.03263732,-0.15053953
19931126,-2.19641009,0.37336688,1.10183164,3.37906303,0.03263732,3.34642571
19931201,-3.99031475,4.57842599,1.12251156,2.4901986,0.03307962,2.45711898
19931202,-0.92515942,2.77857347,2.45181963,1.80581252,0.03307962,1.7727329
19931203,2.38871544,-1.22307505,-1.38753526,-0.80392804,0.03307962,-0.83700766
19931206,0.00809769,0.43357855,-2.61888814,-1.43034006,0.03293224,-1.4632723
19931207,-2.17592916,0.69994747,0.66892609,1.16083938,0.03293224,1.12790714
19931208,-1.12565295,0.26350156,0.11479355,1.61924953,0.03293224,1.58631729
19931209,0.52279304,1.37510377,-1.84491881,0.65531893,0.03293224,0.62238669
19931210,-1.10286536,-0.05509731,-0.07945063,2.31386645,0.03293224,2.28093421
19931213,0.6855022,0.32430116,0.80609287,2.65235247,0.03093732,2.62141515
19931224,2.62639389,-0.78824951,1.05410432,-0.13112851,0.03064093,-0.16176944
19940103,-0.68914179,1.98583612,-1.39840252,6.01804649,0.03001038,5.98803611
19940104,2.82443124,1.33417436,-3.60037641,1.10646632,0.03001038,1.07645594
19940105,1.09889025,-0.79249924,-0.39211475,-0.51146001,0.03001038,-0.54147039
19940106,1.43216484,-1.44524095,-2.40647739,1.08826431,0.03001038,1.05825393
19940107,-0.26619407,-0.08657327,-4.73636483,4.91831396,0.03001038,4.88830358
19940110,-0.86993292,-0.89434983,-1.4160512,4.29258397,0.03108543,4.26149854
19940111,0.39299841,-1.71981208,0.72835405,-0.87715124,0.03108543,-0.90823667
19940112,-3.57848948,-0.63624456,-0.1515702,0.9700399,0.03108543,0.93895447
19940113,0.73126824,-1.042995,-1.09237391,-0.09545551,0.03108543,-0.12654094
19940114,-0.07239845,-0.53167005,2.2164251,0.55617131,0.03108543,0.52508588
19940117,-1.17566407,1.34372318,-0.97290504,1.60707282,0.0320099,1.57506292
19940118,0.93691708,-1.61508649,-0.42259689,-1.08838902,0.0320099,-1.12039892
19940119,-0.39488833,-0.2658854,2.42832753,-3.59611228,0.0320099,-3.62812218
19940120,0.89155873,-0.07726573,-1.45816773,-1.08716705,0.0320099,-1.11917695
19940124,-1.02892116,-0.09362742,1.60256625,1.50463958,0.03293224,1.47170734
19940125,0.18259778,-0.53548986,2.47391452,2.14315114,0.03293224,2.1102189
19940127,-0.40732034,-0.16083566,1.6296745,2.3110785,0.03293224,2.27814626
19940128,2.59124636,-0.22641757,2.48112303,0.8288194,0.03293224,0.79588716
19940131,2.67561259,-0.75097956,0.93538038,-0.97987909,0.03263732,-1.01251641
19940201,1.17752941,-1.15334399,0.51878839,-1.25202064,0.03263732,-1.28465796
