Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
13-February-2020,116.80,117.10,114.65,115.10,115.413118991288650629,438738,2877,50636121.00,227709,51.90,2.45,-1.70
12-February-2020,116.90,118.85,116.35,116.65,117.531131352929853087,488318,3794,57392567.00,222548,45.57,2.50,-0.25
11-February-2020,114.00,117.60,114.00,116.85,116.207652282180049949,408009,3660,47413768.00,123297,30.22,3.60,2.85
10-February-2020,116.45,116.45,112.15,113.45,113.634022330332065658,532997,3922,60566593.00,122803,23.04,4.30,-3.00
7-February-2020,112.10,116.40,112.10,115.70,114.993111543868945284,517097,3357,59462593.00,102239,19.77,4.30,3.60
6-February-2020,111.00,112.50,110.55,112.00,111.493390228291017708,234350,2308,26128476.00,101332,43.24,1.95,1.00
5-February-2020,111.70,112.55,110.60,111.25,111.796334099880713749,325268,3342,36363770.00,124002,38.12,1.95,-0.45
4-February-2020,110.70,112.25,110.15,111.90,111.326656206251820394,425732,3352,47395320.00,166176,39.03,2.10,1.20
3-February-2020,111.40,111.65,107.30,110.30,110.203064722942222075,363426,4856,40050659.00,104795,28.84,4.35,-1.10
1-February-2020,113.00,113.00,108.00,109.10,110.766338750939183495,657486,7045,72827317.00,110920,16.87,5.00,-3.90
31-January-2020,113.70,115.10,111.50,112.80,113.524307737653492497,949965,8419,107844119.00,252681,26.60,3.60,-0.90
30-January-2020,113.95,114.75,112.15,113.60,113.783604970500247473,456614,3696,51955187.00,74672,16.35,2.60,-0.35
29-January-2020,112.30,114.85,111.80,113.25,113.138304893244070874,378808,5351,42857695.00,121560,32.09,3.05,0.95
28-January-2020,113.65,113.65,110.90,112.05,111.987382726384819310,1791750,3593,200653393.00,1528081,85.28,2.75,-1.60
27-January-2020,115.25,115.30,112.40,112.95,113.873843953785501900,255937,3263,29144530.00,126490,49.42,2.90,-2.30
24-January-2020,113.80,116.30,113.60,114.75,115.201424220144942758,238025,4921,27420819.00,75780,31.84,2.70,0.95
23-January-2020,112.40,114.45,112.30,113.60,113.486214881723184817,499633,5855,56701458.00,204959,41.02,2.15,1.20
22-January-2020,114.40,115.60,111.70,112.20,113.157474890495234783,603855,6999,68330707.00,276748,45.83,3.90,-2.20
21-January-2020,119.95,119.95,116.95,117.20,118.171503087076857568,93940,1183,11101031.00,33957,36.15,3.00,-2.75
20-January-2020,121.35,121.80,117.90,118.20,119.758220383190543133,226206,2990,27090028.00,83648,36.98,3.90,-3.15
17-January-2020,121.45,121.80,120.80,121.20,121.113063403119650395,188098,2497,22781125.00,88473,47.04,1.00,-0.25
16-January-2020,125.00,125.00,121.00,121.40,121.837091669604414147,252461,8284,30759114.00,132704,52.56,4.00,-3.60
15-January-2020,123.95,125.00,122.30,123.80,123.918048661652303663,164195,1651,20346724.00,54809,33.38,2.70,-0.15
14-January-2020,122.00,123.85,121.40,123.55,122.807855858547594530,187427,2665,23017508.00,52493,28.01,2.45,1.55
13-January-2020,121.95,122.00,120.10,121.75,121.258374134546944761,139089,1172,16865706.00,35835,25.76,1.90,-0.20
10-January-2020,120.30,121.70,119.15,120.25,120.859212502479526197,141156,2300,17060003.00,41118,29.13,2.55,-0.05
9-January-2020,120.50,121.25,118.95,119.30,119.859238224260108378,115152,2057,13802031.00,39231,34.07,2.30,-1.20
8-January-2020,120.40,120.80,117.65,119.95,119.572279544125246307,176101,2174,21056798.00,39131,22.22,3.15,-0.45
7-January-2020,118.90,121.50,118.90,120.50,120.249297848812962152,577867,2234,69488101.00,336117,58.17,2.60,1.60
6-January-2020,119.30,119.30,116.55,118.90,117.968147775914366497,165169,1153,19484681.00,47583,28.81,2.75,-0.40
3-January-2020,122.00,122.00,119.05,119.30,119.937337672587222734,696894,2728,83583611.00,531579,76.28,2.95,-2.70
2-January-2020,121.50,122.10,120.55,121.35,121.447353936096875384,187127,1416,22726079.00,61054,32.63,1.55,-0.15
1-January-2020,119.05,121.90,118.30,121.50,120.476051696994105371,273130,2160,32905624.00,76502,28.01,3.60,2.45
31-December-2019,117.00,119.35,116.40,119.05,117.966647373539427023,340363,2943,40151482.00,184998,54.35,2.95,2.05
30-December-2019,117.40,117.65,116.35,116.70,117.122672313967681024,95857,1175,11227028.00,40504,42.25,1.30,-0.70
