Date,SMB,HML,WML,Ret,Ret_rf,Ret_ex
20190212,-0.25833667,0.20653819,-0.02569875,-0.34845542,0.02541844,-0.37387386
20190213,0.07597724,-0.28510024,0.09431617,-0.48017007,0.02541844,-0.50558851
20190214,-0.21838569,1.13771495,-4.36735051,-0.17959066,0.02481724,-0.2044079
20190215,-0.32505825,-0.62903309,-0.11549053,-0.52636248,0.02481724,-0.55117972
20190218,-0.43524062,0.32741583,-0.64175533,-0.97515667,0.02481724,-0.99997391
20190219,-0.16718312,1.58205392,-0.16122941,-0.06206721,0.02481724,-0.08688445
20190220,-0.5811326,0.63275245,-0.41418226,1.13242892,0.02481724,1.10761168
20190221,0.5248021,1.46550817,-1.05863059,0.74650584,0.02481724,0.7216886
20190222,0.46945295,0.47418195,-1.26592141,0.43808057,0.02481724,0.41326333
20190225,0.33102802,-0.78991727,-0.5141013,0.68828912,0.02481724,0.66347188
20190226,-0.53755972,-0.58044495,0.24284183,-0.2458622,0.02481724,-0.27067944
20190227,0.04912035,0.35602839,0.52927188,0.01014797,0.02481724,-0.01466927
20190228,0.32914488,0.09622809,-0.44863026,0.28182074,0.02481724,0.2570035
20190301,0.96037149,2.16373646,-1.94354803,0.98751653,0.02481724,0.96269929
20190305,1.56300356,1.46468332,-3.30249902,1.70876375,0.02481724,1.68394651
20190306,0.66209477,-0.13072732,-1.29758381,0.61577317,0.02481724,0.59095593
20190307,0.30302824,0.10992702,0.51981967,-0.14482224,0.02481724,-0.16963948
20190308,0.49676154,-1.08427234,0.7347493,-0.13620679,0.02481724,-0.16102403
20190311,-0.57940334,0.86891334,-1.23522851,1.5744233,0.02481724,1.54960606
20190312,0.24856532,-0.66745022,-0.09208492,0.86239474,0.02481724,0.8375775
20190313,-0.12876827,-0.69222068,1.19810541,-0.13226788,0.02481724,-0.15708512
20190314,-0.18106822,-0.09211268,0.27766681,-0.03400629,0.02466679,-0.05867308
20190315,-1.27111858,0.14061349,0.14367999,0.39839416,0.02466679,0.37372737
20190318,-0.7596834,0.8547116,0.66256455,0.11770754,0.02466679,0.09304075
20190319,-0.86655703,1.44820374,-0.38056292,0.5493027,0.02466679,0.52463591
20190320,0.36289984,-0.45591923,0.3087533,-0.35207023,0.02466679,-0.37673702
20190322,0.27735634,-0.92575927,1.05345843,-0.58034504,0.02447866,-0.6048237
20190325,-1.36303378,0.98083391,1.19483023,-0.82634156,0.02447866,-0.85082022
20190326,-0.96597596,0.65059931,-0.13317007,0.94855471,0.02447866,0.92407605
20190327,0.42458166,0.31101399,-0.22086413,-0.03824016,0.02447866,-0.06271882
20190328,-0.08661091,0.48670061,-0.48303987,1.02619609,0.02447866,1.00171743
20190329,-0.32195469,0.47972085,-0.87782187,0.66142975,0.02447866,0.63695109
20190401,1.07654442,0.22767452,-0.47512767,0.57838573,0.02447866,0.55390707
20190402,-0.35041209,0.10445692,-0.05058509,0.18251414,0.02447866,0.15803548
20190403,0.11410426,-0.88431087,0.77007027,-0.58225651,0.02447866,-0.60673517
20190404,-0.02196684,-0.09271583,-0.33954302,-0.39053433,0.02417747,-0.4147118
20190405,0.21265021,0.04438171,-0.57637692,0.57377465,0.02417747,0.54959718
20190408,0.54907279,-0.59239503,-0.20736135,-0.49166158,0.02417747,-0.51583905
20190409,-0.79922389,0.59896676,0.59159752,0.39148649,0.02417747,0.36730902
