Date,Open,High,Low,Close
12-February-2019,36405.72,36465.40,36113.91,36153.62,
13-February-2019,36279.63,36375.80,35962.68,36034.11,
14-February-2019,36065.08,36109.10,35799.42,35876.22,
15-February-2019,35985.68,36022.57,35510.97,35808.95,
18-February-2019,35831.18,35912.44,35470.76,35498.44,
19-February-2019,35543.24,35776.04,35287.16,35352.61,
20-February-2019,35564.93,35797.11,35469.49,35756.26,
21-February-2019,35837.00,35983.07,35707.29,35898.35,
22-February-2019,35906.01,35941.69,35795.79,35871.48,
25-February-2019,35983.80,36242.18,35901.06,36213.38,
26-February-2019,35975.75,36172.52,35714.16,35973.71,
27-February-2019,36138.83,36371.11,35735.33,35905.43,
28-February-2019,36025.72,36085.85,35829.15,35867.44,
1-March-2019,36018.49,36140.67,35952.41,36063.81,
5-March-2019,36141.07,36457.44,35926.94,36442.54,
6-March-2019,36544.86,36666.47,36456.82,36636.10,
7-March-2019,36744.02,36830.25,36590.88,36725.42,
8-March-2019,36753.59,36753.59,36592.93,36671.43,
11-March-2019,36741.57,37106.19,36726.39,37054.10,
12-March-2019,37249.65,37586.63,37230.85,37535.66,
13-March-2019,37608.29,37797.29,37478.87,37752.17,
14-March-2019,37840.64,37907.78,37693.69,37754.89,
15-March-2019,37760.23,38254.77,37760.23,38024.32,
18-March-2019,38132.96,38369.59,37952.10,38095.07,
19-March-2019,38218.59,38396.06,38078.23,38363.47,
20-March-2019,38433.86,38489.81,38316.21,38386.75,
22-March-2019,38452.47,38564.71,38089.36,38164.61,
25-March-2019,38016.76,38016.76,37667.40,37808.91,
26-March-2019,37886.29,38297.70,37800.08,38233.41,
27-March-2019,38372.03,38475.93,38001.34,38132.88,
28-March-2019,38208.30,38593.65,38148.44,38545.72,
29-March-2019,38675.00,38748.54,38546.68,38672.91,
1-April-2019,38858.88,39115.57,38808.74,38871.87,
2-April-2019,38988.57,39121.69,38846.96,39056.65,
3-April-2019,39167.05,39270.14,38826.56,38877.12,
4-April-2019,38935.75,38939.35,38581.04,38684.72,
5-April-2019,38839.52,38958.60,38701.04,38862.23,
8-April-2019,38993.60,39041.25,38520.96,38700.53,
9-April-2019,38730.93,38978.99,38598.72,38939.22,
10-April-2019,38898.60,38950.45,38542.28,38585.35,
11-April-2019,38621.58,38649.98,38460.25,38607.01,
12-April-2019,38692.06,38818.87,38554.79,38767.11,
15-April-2019,38805.54,38976.58,38780.08,38905.84,
16-April-2019,39040.30,39364.34,39038.81,39275.64,
18-April-2019,39420.04,39487.45,39083.16,39140.28,
22-April-2019,39158.22,39158.22,38585.65,38645.18,
23-April-2019,38771.27,38832.61,38518.26,38564.88,
24-April-2019,38672.63,39095.35,38571.00,39054.68,
25-April-2019,39101.78,39262.22,38663.98,38730.86,
26-April-2019,38865.83,39103.16,38765.33,39067.33,
30-April-2019,39056.92,39105.88,38753.46,39031.55,
2-May-2019,39036.51,39189.95,38882.99,38981.43,
3-May-2019,39009.55,39172.76,38920.17,38963.26,
6-May-2019,38719.33,38719.33,38509.79,38600.34,
7-May-2019,38815.46,38835.54,38236.18,38276.63,
8-May-2019,38244.18,38248.57,37743.07,37789.13,
9-May-2019,37747.91,37780.46,37405.40,37558.91,
10-May-2019,37632.36,37721.98,37370.39,37462.99,
13-May-2019,37491.30,37583.57,36999.84,37090.82,
14-May-2019,37146.58,37572.70,36956.10,37318.53,
15-May-2019,37539.05,37559.67,37047.87,37114.88,
16-May-2019,37179.13,37518.94,37052.30,37393.48,
17-May-2019,37494.42,38001.13,37415.36,37930.77,
20-May-2019,38701.18,39412.56,38570.04,39352.67,
21-May-2019,39449.45,39571.73,38884.85,38969.80,
22-May-2019,39086.21,39249.08,38903.87,39110.21,
23-May-2019,39591.77,40124.96,38651.61,38811.39,
24-May-2019,39076.28,39476.97,38824.26,39434.72,
27-May-2019,39536.23,39821.94,39353.16,39683.29,
28-May-2019,39765.64,39828.65,39498.65,39749.73,
29-May-2019,39714.27,39767.93,39420.50,39502.05,
30-May-2019,39580.28,39911.92,39500.56,39831.97,
31-May-2019,39998.91,40122.34,39374.24,39714.20,
3-June-2019,39806.86,40308.90,39711.02,40267.62,
4-June-2019,40196.00,40312.07,40031.05,40083.54,
6-June-2019,40136.43,40159.26,39481.15,39529.72,
7-June-2019,39581.77,39703.10,39279.47,39615.90,
10-June-2019,39787.33,39979.48,39619.97,39784.52,
11-June-2019,39900.45,40066.31,39760.02,39950.46,
12-June-2019,39974.18,39982.10,39623.53,39756.81,
13-June-2019,39679.35,39800.81,39461.27,39741.36,
14-June-2019,39797.00,39799.90,39363.45,39452.07,
17-June-2019,39514.36,39540.42,38911.49,38960.79,
18-June-2019,39056.98,39167.83,38870.96,39046.34,
19-June-2019,39176.56,39435.80,38881.05,39112.74,
20-June-2019,39042.96,39638.64,38933.78,39601.63,
21-June-2019,39608.25,39617.95,39121.30,39194.49,
24-June-2019,39160.23,39300.02,39021.70,39122.96,
25-June-2019,39131.94,39490.64,38946.04,39434.94,
26-June-2019,39379.13,39674.22,39319.64,39592.08,
27-June-2019,39633.97,39817.22,39510.44,39586.41,
28-June-2019,39630.52,39675.25,39361.92,39394.64,
1-July-2019,39543.73,39764.82,39541.09,39686.50,
2-July-2019,39811.68,39838.49,39499.19,39816.48,
3-July-2019,39907.57,39934.99,39732.38,39839.25,
4-July-2019,39917.65,39979.10,39858.33,39908.06,
5-July-2019,39990.40,40032.41,39441.38,39513.39,
8-July-2019,39476.38,39476.38,38605.48,38720.57,
9-July-2019,38754.47,38814.23,38435.87,38730.82,
10-July-2019,38701.99,38854.85,38474.66,38557.04,
11-July-2019,38751.62,38892.50,38631.31,38823.11,
12-July-2019,38941.10,39021.84,38684.85,38736.23,
15-July-2019,39009.95,39023.97,38696.60,38896.71,
16-July-2019,38961.86,39173.89,38845.27,39131.04,
17-July-2019,39171.10,39284.73,39081.14,39215.64,
18-July-2019,39204.47,39204.47,38861.25,38897.46,
19-July-2019,39058.73,39058.73,38271.35,38337.01,
22-July-2019,38333.52,38333.52,37890.32,38031.13,
23-July-2019,38138.56,38217.81,37898.90,37982.74,
24-July-2019,37990.23,38102.84,37708.41,37847.65,
25-July-2019,37935.02,38169.87,37775.51,37830.98,
26-July-2019,37831.18,37978.07,37690.47,37882.79,
29-July-2019,38043.22,38043.22,37519.16,37686.37,
30-July-2019,37735.54,37950.21,37359.03,37397.24,
31-July-2019,37257.55,37576.37,37128.26,37481.12,
1-August-2019,37387.18,37387.18,36694.18,37018.32,
2-August-2019,36920.11,37375.16,36607.41,37118.22,
5-August-2019,36842.17,36844.05,36416.79,36699.84,
6-August-2019,36568.03,37241.77,36536.59,36976.85,
7-August-2019,37025.27,37104.79,36610.57,36690.50,
8-August-2019,36808.01,37405.48,36655.41,37327.36,
9-August-2019,37521.30,37807.55,37406.26,37581.91,
13-August-2019,37755.16,37755.16,36888.49,36958.16,
14-August-2019,37233.50,37473.61,37000.77,37311.53,
16-August-2019,37383.00,37444.45,36974.41,37350.33,
19-August-2019,37485.92,37718.88,37358.49,37402.49,
20-August-2019,37441.75,37511.55,37219.90,37328.01,
21-August-2019,37298.73,37406.55,37022.52,37060.37,
22-August-2019,37087.58,37087.58,36391.35,36472.93,
23-August-2019,36387.68,36807.34,36102.35,36701.16,
26-August-2019,37363.95,37544.48,36492.65,37494.12,
27-August-2019,37658.48,37731.51,37449.69,37641.27,
28-August-2019,37655.77,37687.82,37249.19,37451.84,
29-August-2019,37381.80,37381.80,36987.35,37068.93,
30-August-2019,37222.26,37397.97,36829.81,37332.79,
3-September-2019,37181.76,37188.38,36466.01,36562.91,
4-September-2019,36575.24,36776.31,36409.54,36724.74,
5-September-2019,36821.71,36898.99,36541.88,36644.42,
6-September-2019,36785.59,37012.98,36727.66,36981.77,
9-September-2019,36969.48,37244.08,36784.47,37145.45,
11-September-2019,37251.03,37343.46,37193.57,37270.82,
12-September-2019,37330.47,37435.15,37048.67,37104.28,
13-September-2019,37175.86,37413.50,37000.09,37384.99,
16-September-2019,37204.56,37302.06,37028.94,37123.31,
17-September-2019,37169.46,37169.56,36419.09,36481.09,
18-September-2019,36621.38,36712.99,36465.92,36563.88,
19-September-2019,36613.93,36613.93,35987.80,36093.47,
20-September-2019,36214.92,38378.02,36085.74,38014.62,
23-September-2019,38844.00,39441.12,38674.04,39090.03,
24-September-2019,39135.28,39306.37,38913.06,39097.14,
25-September-2019,39087.20,39087.20,38510.97,38593.52,
26-September-2019,38700.48,39158.07,38676.11,38989.74,
27-September-2019,39003.13,39107.37,38782.60,38822.57,
30-September-2019,38873.12,38873.12,38401.09,38667.33,
1-October-2019,38813.48,38923.78,37929.89,38305.41,
3-October-2019,38137.87,38310.93,37957.56,38106.87,
4-October-2019,38401.49,38403.54,37633.36,37673.31,
7-October-2019,37853.80,37919.47,37480.53,37531.98,
9-October-2019,37628.05,38209.84,37415.83,38177.95,
10-October-2019,38130.23,38130.23,37802.93,37880.40,
11-October-2019,37994.48,38345.41,37737.85,38127.08,
14-October-2019,38208.24,38513.69,38066.13,38214.47,
15-October-2019,38316.49,38635.19,38238.27,38506.09,
16-October-2019,38637.05,38666.38,38416.67,38598.99,
17-October-2019,38647.44,39104.69,38557.43,39052.06,
18-October-2019,39087.83,39361.06,38963.60,39298.38,
22-October-2019,39233.40,39426.47,38924.85,38963.84,
23-October-2019,39063.84,39196.67,38866.08,39058.83,
24-October-2019,39223.01,39327.15,38840.76,39020.39,
25-October-2019,39201.67,39241.61,38718.27,39058.06,
27-October-2019,39397.37,39402.23,39180.39,39250.20,
29-October-2019,39293.49,39917.01,39254.12,39831.84,
30-October-2019,40055.63,40178.12,39805.11,40051.87,
31-October-2019,40211.99,40392.22,40054.89,40129.05,
1-November-2019,40196.07,40283.30,40014.23,40165.03,
4-November-2019,40293.85,40483.21,40186.29,40301.96,
5-November-2019,40445.67,40466.55,40053.55,40248.23,
6-November-2019,40311.85,40606.91,40037.53,40469.78,
7-November-2019,40625.64,40688.27,40421.07,40653.74,
8-November-2019,40630.56,40749.33,40263.94,40323.61,
11-November-2019,40316.50,40417.44,40150.97,40345.08,
13-November-2019,40346.43,40447.17,40061.23,40116.06,
14-November-2019,40178.93,40348.61,40026.99,40286.48,
15-November-2019,40408.20,40650.06,40308.09,40356.69,
18-November-2019,40431.08,40542.40,40221.97,40284.19,
19-November-2019,40455.36,40544.13,40290.21,40469.70,
20-November-2019,40729.80,40816.38,40575.96,40651.64,
21-November-2019,40737.31,40744.85,40534.12,40575.17,
22-November-2019,40653.17,40653.17,40276.83,40359.41,
25-November-2019,40439.66,40931.71,40393.90,40889.23,
26-November-2019,41022.85,41120.28,40710.20,40821.30,
27-November-2019,40979.39,41075.76,40848.70,41020.61,
28-November-2019,41161.54,41163.79,40996.08,41130.17,
29-November-2019,41138.26,41143.22,40664.18,40793.81,
2-December-2019,41072.94,41093.99,40707.63,40802.17,
3-December-2019,40852.61,40885.03,40554.04,40675.45,
4-December-2019,40606.01,40886.87,40475.83,40850.29,
5-December-2019,40988.14,41002.41,40720.17,40779.59,
6-December-2019,40952.13,40952.13,40337.53,40445.15,
9-December-2019,40527.24,40645.63,40336.56,40487.43,
10-December-2019,40588.81,40588.81,40208.70,40239.88,
11-December-2019,40285.20,40466.13,40135.37,40412.57,
12-December-2019,40561.34,40712.65,40490.69,40581.71,
13-December-2019,40754.82,41055.80,40736.70,41009.71,
16-December-2019,41168.85,41185.03,40917.93,40938.72,
17-December-2019,41052.36,41401.65,41005.18,41352.17,
18-December-2019,41442.75,41614.77,41358.47,41558.57,
19-December-2019,41571.82,41719.29,41456.40,41673.92,
20-December-2019,41746.20,41809.96,41636.11,41681.54,
23-December-2019,41548.26,41701.62,41474.61,41642.66,
24-December-2019,41684.51,41702.98,41423.07,41461.26,
26-December-2019,41543.80,41543.80,41132.89,41163.76,
27-December-2019,41297.08,41611.27,41264.92,41575.14,
30-December-2019,41686.27,41714.73,41453.38,41558.00,
31-December-2019,41607.49,41607.49,41184.73,41253.74,
1-January-2020,41349.36,41443.52,41251.18,41306.02,
2-January-2020,41340.27,41649.29,41328.45,41626.64,
3-January-2020,41634.51,41636.18,41348.68,41464.61,
6-January-2020,41378.34,41378.34,40613.96,40676.63,
7-January-2020,40983.04,41230.14,40727.37,40869.47,
8-January-2020,40574.83,40866.36,40476.55,40817.74,
9-January-2020,41216.67,41482.12,41175.72,41452.35,
10-January-2020,41568.20,41775.11,41447.80,41599.72,
13-January-2020,41788.21,41899.63,41720.76,41859.69,
14-January-2020,41883.09,41994.26,41770.90,41952.63,
15-January-2020,41969.86,41969.86,41648.11,41872.73,
16-January-2020,41924.74,42059.45,41812.28,41932.56,
